State,state2,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
,NEW JERSEY ,Union,0,0,0,0,0,0,0,0,0,0
,NEW JERSEY ,Warren,0,0,0,0,0,0,0,0,0,0
NEW MEXICO - Metropolitan Counties,NEW MEXICO ,Sandoval,110,0,1,2,107,113,45,64,4,
,NEW MEXICO ,San Juan,764,0,55,12,697,774,217,481,76,
,NEW MEXICO ,Santa Fe,108,0,8,9,91,430,229,201,0,
,NEW MEXICO ,Torrance,100,0,3,1,96,123,58,44,21,
,NEW MEXICO ,Valencia,391,0,31,14,346,966,367,457,142,
NEW MEXICO - Nonmetropolitan Counties,NEW MEXICO ,Catron,5,0,1,0,4,14,7,6,1,
,NEW MEXICO ,Chaves,45,4,10,3,28,209,102,73,34,
,NEW MEXICO ,Cibola,18,1,3,0,14,41,10,21,10,
,NEW MEXICO ,Colfax,12,0,0,0,12,23,10,12,1,
,NEW MEXICO ,De Baca,8,0,1,1,6,40,23,11,6,
,NEW MEXICO ,Eddy,80,0,10,0,70,287,79,140,68,
,NEW MEXICO ,Grant,20,0,4,0,16,114,54,60,0,
,NEW MEXICO ,Hidalgo,9,0,0,0,9,12,5,5,2,
,NEW MEXICO ,Lincoln,48,0,5,0,43,111,48,52,11,
,NEW MEXICO ,Luna,70,1,0,1,68,272,105,130,37,
,NEW MEXICO ,McKinley,192,2,4,8,178,259,70,138,51,
,NEW MEXICO ,Mora,14,0,0,0,14,12,2,6,4,
,NEW MEXICO ,Otero,158,0,13,0,145,264,110,128,26,
,NEW MEXICO ,Quay,6,0,0,0,6,26,13,9,4,
,NEW MEXICO ,Rio Arriba,63,0,6,7,50,197,72,114,11,
,NEW MEXICO ,San Miguel,0,0,0,0,0,0,0,0,0,
,NEW MEXICO ,Sierra,23,0,2,1,20,64,29,31,4,
,NEW MEXICO ,Socorro,19,1,4,1,13,70,18,42,10,
,NEW MEXICO ,Taos,31,1,1,1,28,138,75,34,29,
,NEW MEXICO ,Union,7,1,3,0,3,9,2,6,1,
NEW YORK - Metropolitan Counties,NEW YORK ,Albany,16,0,6,0,10,114,19,82,13,1
,NEW YORK ,Broome,44,0,17,5,22,513,72,418,23,0
,NEW YORK ,Chemung,10,0,3,3,4,244,31,211,2,1
,NEW YORK ,Erie,45,0,0,9,36,576,79,475,22,1
,NEW YORK ,Herkimer,0,0,0,0,0,0,0,0,0,0
,NEW YORK ,Jefferson,17,0,5,1,11,253,23,226,4,0
,NEW YORK ,Livingston,23,0,10,2,11,260,30,215,15,0
,NEW YORK ,Madison,21,1,8,0,12,127,25,98,4,0
,NEW YORK ,Nassau,"1,000",11,13,337,639,"9,650",786,"8,406",458,39
,NEW YORK ,Niagara,59,0,16,10,33,597,102,457,38,3
,NEW YORK ,Oneida,107,0,91,1,15,290,47,225,18,1
,NEW YORK ,Ontario,41,0,17,2,22,651,93,549,9,3
,NEW YORK ,Orleans,14,0,2,3,9,170,37,130,3,2
,NEW YORK ,Oswego,57,2,18,7,30,307,48,240,19,2
,NEW YORK ,Putnam,14,0,2,0,12,154,16,135,3,2
,NEW YORK ,Rensselaer,13,0,3,1,9,184,27,144,13,3
,NEW YORK ,Rockland,10,0,1,0,9,24,1,23,0,0
,NEW YORK ,Saratoga,79,0,13,4,62,"1,095",136,935,24,3
,NEW YORK ,Schenectady,1,0,0,0,1,18,1,15,2,0
,NEW YORK ,Schoharie,5,0,1,1,3,27,3,24,0,0
,NEW YORK ,Suffolk,55,0,0,0,55,0,0,0,0,0
,NEW YORK ,Suffolk County Police Department,"1,134",22,39,375,698,"15,235",955,"13,396",884,81
,NEW YORK ,Tioga,9,0,4,1,4,112,25,82,5,0
,NEW YORK ,Tompkins,21,0,11,2,8,256,43,207,6,0
,NEW YORK ,Ulster,26,0,10,1,15,139,22,115,2,1
,NEW YORK ,Warren,47,0,23,5,19,472,34,431,7,3
,NEW YORK ,Washington,25,0,14,3,8,156,26,126,4,1
,NEW YORK ,Wayne,54,4,19,4,27,393,82,299,12,1
,NEW YORK ,Westchester Public Safety,67,1,1,8,57,208,9,194,5,1
,NEW YORK ,Yates,11,1,1,0,9,127,42,81,4,1
NEW YORK - Nonmetropolitan Counties,NEW YORK ,Allegany,5,0,0,0,5,0,0,0,0,0
,NEW YORK ,Cattaraugus,33,2,10,1,20,254,55,184,15,7
,NEW YORK ,Cayuga,11,0,2,1,8,168,30,135,3,1
,NEW YORK ,Chenango,15,0,6,1,8,269,56,208,5,0
,NEW YORK ,Clinton,13,0,0,0,13,27,1,25,1,0
,NEW YORK ,Columbia,27,0,12,0,15,290,55,226,9,1
,NEW YORK ,Cortland,14,1,5,4,4,234,58,167,9,0
,NEW YORK ,Delaware,31,0,15,1,15,145,39,97,9,0
,NEW YORK ,Essex,1,0,0,0,1,3,0,2,1,0
,NEW YORK ,Franklin,0,0,0,0,0,0,0,0,0,0
,NEW YORK ,Fulton,25,0,6,1,18,204,20,176,8,0
,NEW YORK ,Genesee,48,1,18,1,28,284,35,231,18,3
,NEW YORK ,Greene,6,0,0,0,6,20,12,7,1,0
,NEW YORK ,Hamilton,0,0,0,0,0,6,2,4,0,0
,NEW YORK ,Montgomery,7,0,2,0,5,189,19,163,7,0
,NEW YORK ,Schuyler,8,0,1,0,7,15,1,11,3,0
,NEW YORK ,Seneca,8,0,0,1,7,50,3,45,2,0
,NEW YORK ,St. Lawrence,12,0,1,1,10,39,8,28,3,1
,NEW YORK ,Sullivan,30,0,6,4,20,295,40,247,8,1
,NEW YORK ,Wyoming,14,1,6,1,6,117,18,95,4,0
NORTH CAROLINA - Metropolitan Counties7,NORTH CAROLINA ,Alamance,,0,,6,90,677,296,342,39,3
,NORTH CAROLINA ,Buncombe,,1,,29,115,"1,450",500,774,176,12
,NORTH CAROLINA ,Cabarrus,,1,,18,27,595,171,406,18,5
,NORTH CAROLINA ,Catawba,,2,,15,81,"1,112",362,645,105,7
,NORTH CAROLINA ,Chatham,,1,,5,61,552,239,288,25,2
,NORTH CAROLINA ,Craven,,0,,7,107,791,309,423,59,4
,NORTH CAROLINA ,Cumberland,,2,,66,338,"2,512",797,"1,555",160,41
,NORTH CAROLINA ,Currituck,,1,,3,36,312,73,231,8,0
,NORTH CAROLINA ,Davidson,,6,,30,76,"1,563",808,601,154,8
,NORTH CAROLINA ,Davie,,1,,6,65,471,169,286,16,1
,NORTH CAROLINA ,Gaston,,0,,0,14,1,0,0,1,0
,NORTH CAROLINA ,Granville,,0,,7,45,467,197,239,31,4
,NORTH CAROLINA ,Guilford,,3,,29,160,969,336,560,73,11
,NORTH CAROLINA ,Haywood,,0,,4,113,927,402,440,85,2
,NORTH CAROLINA ,Hoke,,1,,8,12,943,331,531,81,0
,NORTH CAROLINA ,Johnston,,6,,21,169,"1,564",465,986,113,3
,NORTH CAROLINA ,Madison,,0,,0,17,163,66,84,13,2
,NORTH CAROLINA ,New Hanover,,1,,20,85,"1,320",278,983,59,13
,NORTH CAROLINA ,Orange,,1,,7,52,510,178,304,28,2
,NORTH CAROLINA ,Pamlico,,1,,3,14,191,39,134,18,1
,NORTH CAROLINA ,Person,,0,,2,45,295,122,154,19,1
,NORTH CAROLINA ,Pitt,,2,,24,169,890,276,562,52,5
,NORTH CAROLINA ,Rockingham,,2,,7,26,720,280,395,45,0
,NORTH CAROLINA ,Stokes,,0,,0,61,685,180,437,68,2
,NORTH CAROLINA ,Yadkin,,1,,4,92,555,231,285,39,3
NORTH CAROLINA - Nonmetropolitan Counties7,NORTH CAROLINA ,Beaufort,,1,,8,29,470,186,264,20,6
,NORTH CAROLINA ,Bertie,,0,,4,14,123,40,67,16,0
,NORTH CAROLINA ,Chowan,,1,,0,16,131,52,72,7,0
,NORTH CAROLINA ,Clay,,0,,1,15,258,101,142,15,2
,NORTH CAROLINA ,Graham,,1,,2,21,235,64,149,22,0
,NORTH CAROLINA ,Greene,,3,,8,23,328,169,145,14,0
,NORTH CAROLINA ,Halifax,,11,,22,59,539,297,210,32,7
,NORTH CAROLINA ,Hertford,,4,,9,25,201,87,105,9,6
,NORTH CAROLINA ,Jackson,,0,,8,43,813,443,310,60,2
,NORTH CAROLINA ,Martin,,2,,7,42,282,121,136,25,3
,NORTH CAROLINA ,McDowell,,4,,7,23,836,229,493,114,8
,NORTH CAROLINA ,Montgomery,,0,,3,38,254,109,126,19,5
,NORTH CAROLINA ,Moore,,2,,4,67,631,286,323,22,
,NORTH CAROLINA ,Pasquotank,,2,,2,42,250,103,142,5,0
,NORTH CAROLINA ,Perquimans,,0,,1,8,82,38,41,3,1
,NORTH CAROLINA ,Polk,,1,,0,6,207,69,123,15,2
,NORTH CAROLINA ,Rutherford,,2,,4,108,915,492,322,101,10
,NORTH CAROLINA ,Sampson,,3,,17,96,854,424,344,86,6
,NORTH CAROLINA ,Transylvania,,1,,2,15,236,87,143,6,2
,NORTH CAROLINA ,Tyrrell,,0,,1,5,30,11,18,1,0
,NORTH CAROLINA ,Watauga,,0,,1,10,253,38,204,11,1
,NORTH CAROLINA ,Wilkes,,3,,7,143,694,287,356,51,12
,NORTH CAROLINA ,Yancey,,0,,3,10,71,29,32,10,2
NORTH DAKOTA - Metropolitan Counties,NORTH DAKOTA ,Burleigh,21,0,6,0,15,170,64,84,22,0
,NORTH DAKOTA ,Cass,18,0,8,1,9,138,53,69,16,0
,NORTH DAKOTA ,Grand Forks,13,0,5,3,5,86,13,64,9,0
,NORTH DAKOTA ,Morton,6,0,3,0,3,118,15,93,10,0
,NORTH DAKOTA ,Oliver,1,0,1,0,0,1,0,1,0,0
NORTH DAKOTA - Nonmetropolitan Counties,NORTH DAKOTA ,Adams,2,0,0,0,2,19,4,14,1,0
,NORTH DAKOTA ,Barnes,4,0,1,0,3,12,5,4,3,0
,NORTH DAKOTA ,Benson,0,0,0,0,0,12,1,5,6,0
,NORTH DAKOTA ,Billings,0,0,0,0,0,13,0,11,2,0
,NORTH DAKOTA ,Bottineau,5,0,2,0,3,67,27,27,13,0
,NORTH DAKOTA ,Bowman,2,0,0,0,2,2,0,1,1,0
,NORTH DAKOTA ,Burke,0,0,0,0,0,4,0,2,2,0
,NORTH DAKOTA ,Cavalier,2,0,1,0,1,21,5,8,8,2
,NORTH DAKOTA ,Dickey,5,0,1,0,4,9,2,7,0,0
,NORTH DAKOTA ,Divide,0,0,0,0,0,8,2,5,1,0
,NORTH DAKOTA ,Dunn,8,0,0,0,8,20,2,10,8,0
,NORTH DAKOTA ,Eddy,1,0,0,0,1,21,0,17,4,0
,NORTH DAKOTA ,Emmons,1,0,1,0,0,38,10,27,1,0
,NORTH DAKOTA ,Foster,0,0,0,0,0,9,3,5,1,0
,NORTH DAKOTA ,Golden Valley,1,0,1,0,0,1,0,1,0,0
,NORTH DAKOTA ,Grant,0,0,0,0,0,8,5,3,0,1
,NORTH DAKOTA ,Griggs,0,0,0,0,0,9,2,5,2,0
,NORTH DAKOTA ,Hettinger,6,0,2,0,4,24,6,17,1,0
,NORTH DAKOTA ,Kidder,1,0,1,0,0,4,3,1,0,0
,NORTH DAKOTA ,Lamoure,2,0,0,0,2,9,0,9,0,0
,NORTH DAKOTA ,Logan,0,0,0,0,0,0,0,0,0,0
,NORTH DAKOTA ,McHenry,4,0,0,0,4,33,17,12,4,0
,NORTH DAKOTA ,McIntosh,0,0,0,0,0,1,0,1,0,0
,NORTH DAKOTA ,McKenzie,30,0,11,0,19,179,24,127,28,1
,NORTH DAKOTA ,McLean,4,0,1,0,3,70,12,50,8,0
,NORTH DAKOTA ,Mercer,4,0,1,0,3,25,5,17,3,0
,NORTH DAKOTA ,Mountrail,7,0,3,1,3,62,7,47,8,0
,NORTH DAKOTA ,Nelson,2,0,0,0,2,28,6,19,3,0
,NORTH DAKOTA ,Pembina,5,0,1,0,4,36,11,20,5,0
,NORTH DAKOTA ,Pierce,5,0,3,0,2,20,4,12,4,0
,NORTH DAKOTA ,Ramsey,4,0,2,0,2,26,3,17,6,1
,NORTH DAKOTA ,Ransom,1,0,0,0,1,25,3,14,8,0
,NORTH DAKOTA ,Renville,3,0,0,0,3,11,2,8,1,0
,NORTH DAKOTA ,Richland,2,0,0,0,2,82,23,54,5,0
,NORTH DAKOTA ,Rolette,8,0,2,0,6,39,10,23,6,1
,NORTH DAKOTA ,Sargent,2,0,0,0,2,17,1,14,2,0
,NORTH DAKOTA ,Sheridan,0,0,0,0,0,11,2,9,0,0
,NORTH DAKOTA ,Sioux,0,0,0,0,0,1,0,1,0,0
,NORTH DAKOTA ,Slope,0,0,0,0,0,0,0,0,0,0
,NORTH DAKOTA ,Stark,3,0,0,0,3,36,7,24,5,0
,NORTH DAKOTA ,Steele,3,0,0,0,3,2,2,0,0,0
,NORTH DAKOTA ,Stutsman,2,0,1,0,1,29,11,16,2,0
,NORTH DAKOTA ,Towner,2,0,1,0,1,24,6,11,7,0
,NORTH DAKOTA ,Traill,7,0,4,1,2,85,23,46,16,1
,NORTH DAKOTA ,Walsh,9,0,1,0,8,82,23,43,16,2
,NORTH DAKOTA ,Ward,32,0,1,2,29,192,70,72,50,2
,NORTH DAKOTA ,Wells,2,0,1,1,0,16,6,9,1,0
,NORTH DAKOTA ,Williams,16,0,1,0,15,132,23,96,13,0
OHIO - Metropolitan Counties,OHIO ,Allen7,,1,,15,9,803,139,637,27,2
,OHIO ,Belmont,52,2,19,3,28,217,41,165,11,2
,OHIO ,Clark,38,0,4,9,25,630,148,470,12,1
,OHIO ,Clermont,103,0,25,8,70,948,214,671,63,2
,OHIO ,Delaware,60,0,25,6,29,"1,096",174,884,38,1
,OHIO ,Fairfield,46,0,13,6,27,"1,071",149,881,41,3
,OHIO ,Fulton,15,0,4,3,8,222,59,163,0,0
,OHIO ,Geauga,21,0,3,1,17,117,23,91,3,2
,OHIO ,Greene,43,0,10,2,31,306,60,230,16,1
,OHIO ,Hamilton,168,3,50,31,84,"1,933",232,"1,535",166,14
,OHIO ,Hocking,19,4,2,1,12,495,112,246,137,3
,OHIO ,Jefferson,12,0,1,0,11,75,25,43,7,1
,OHIO ,Lake7,,3,,5,182,305,82,218,5,0
,OHIO ,Lawrence,56,1,13,4,38,510,145,315,50,2
,OHIO ,Lorain,76,2,18,12,44,460,164,274,22,5
,OHIO ,Lucas,104,0,31,30,43,950,155,729,66,4
,OHIO ,Madison,13,0,1,4,8,334,83,234,17,2
,OHIO ,Mahoning,4,0,1,1,2,81,5,72,4,0
,OHIO ,Medina,5,0,0,1,4,86,23,63,0,0
,OHIO ,Miami,35,0,11,0,24,321,78,212,31,8
,OHIO ,Montgomery,269,7,42,67,153,"1,266",282,663,321,9
,OHIO ,Perry,6,0,2,0,4,85,32,50,3,0
,OHIO ,Pickaway,31,1,9,2,19,619,145,443,31,4
,OHIO ,Portage7,,1,,13,337,991,217,731,43,3
,OHIO ,Richland,65,0,35,9,21,748,185,507,56,4
,OHIO ,Stark,116,1,32,26,57,"1,578",422,"1,057",99,11
,OHIO ,Summit,70,0,26,12,32,889,129,712,48,3
,OHIO ,Trumbull,17,0,4,2,11,201,76,119,6,0
,OHIO ,Union,39,0,21,1,17,181,33,133,15,0
,OHIO ,Warren,51,0,10,4,37,741,96,586,59,1
,OHIO ,Wood,25,0,9,2,14,362,86,261,15,2
OHIO - Nonmetropolitan Counties,OHIO ,Adams,11,0,5,0,6,196,79,100,17,2
,OHIO ,Ashland,18,0,13,0,5,144,47,93,4,3
,OHIO ,Ashtabula,45,0,6,8,31,479,113,327,39,1
,OHIO ,Athens,18,0,6,3,9,308,96,186,26,0
,OHIO ,Champaign,21,0,6,0,15,167,48,112,7,2
,OHIO ,Clinton,14,0,5,0,9,112,37,63,12,1
,OHIO ,Columbiana,28,0,4,4,20,326,90,208,28,4
,OHIO ,Coshocton,42,0,13,2,27,389,92,263,34,3
,OHIO ,Crawford,3,0,1,0,2,102,36,59,7,0
,OHIO ,Defiance,13,0,6,0,7,122,34,85,3,2
,OHIO ,Erie,5,0,0,0,5,202,45,151,6,0
,OHIO ,Fayette,39,2,11,7,19,388,117,252,19,2
,OHIO ,Gallia,30,0,3,2,25,369,105,238,26,4
,OHIO ,Hancock,20,0,7,3,10,156,35,113,8,1
,OHIO ,Hardin,10,0,0,3,7,89,19,67,3,4
,OHIO ,Henry,15,1,3,0,11,122,40,75,7,1
,OHIO ,Highland,20,2,12,2,4,271,95,157,19,1
,OHIO ,Jackson,29,0,7,3,19,230,67,143,20,0
,OHIO ,Knox,51,0,21,2,28,333,94,239,0,1
,OHIO ,Logan,19,0,3,1,15,176,43,119,14,1
,OHIO ,Marion,36,0,16,7,13,888,122,742,24,2
,OHIO ,Meigs,17,1,3,1,12,217,51,133,33,4
,OHIO ,Mercer,10,0,4,0,6,82,8,73,1,0
,OHIO ,Monroe,15,0,7,0,8,44,14,23,7,1
,OHIO ,Morgan,24,0,4,0,20,138,51,77,10,2
,OHIO ,Noble,1,0,1,0,0,38,12,25,1,0
,OHIO ,Pike,37,0,12,2,23,380,101,231,48,5
,OHIO ,Preble,14,0,2,0,12,207,38,135,34,1
,OHIO ,Putnam,10,0,1,0,9,75,10,65,0,0
,OHIO ,Ross,114,0,31,3,80,"1,071",270,676,125,17
,OHIO ,Scioto,58,0,12,13,33,882,240,539,103,14
,OHIO ,Shelby,14,0,6,1,7,120,14,96,10,0
,OHIO ,Tuscarawas,18,0,7,1,10,284,68,193,23,2
,OHIO ,Van Wert,25,1,7,0,17,105,36,61,8,1
,OHIO ,Vinton,20,0,1,2,17,192,72,101,19,0
,OHIO ,Washington,31,0,15,1,15,273,89,165,19,2
,OHIO ,Wayne,46,1,13,2,30,478,149,281,48,3
,OHIO ,Wyandot,3,1,0,0,2,1,0,1,0,1
OKLAHOMA - Metropolitan Counties,OKLAHOMA ,Canadian,8,0,3,1,4,164,32,108,24,2
,OKLAHOMA ,Cleveland,44,0,12,2,30,259,92,126,41,2
,OKLAHOMA ,Comanche,23,0,6,0,17,237,95,113,29,2
,OKLAHOMA ,Cotton,0,0,0,0,0,17,4,9,4,0
,OKLAHOMA ,Creek,44,0,13,4,27,370,120,172,78,1
,OKLAHOMA ,Garfield,14,0,4,0,10,124,40,72,12,3
,OKLAHOMA ,Grady,41,0,3,0,38,394,127,211,56,3
,OKLAHOMA ,Lincoln,26,1,5,1,19,275,91,142,42,6
,OKLAHOMA ,Logan,42,0,8,3,31,371,122,215,34,0
,OKLAHOMA ,McClain,19,1,8,1,9,272,101,136,35,1
,OKLAHOMA ,Oklahoma,37,1,1,1,34,247,61,141,45,1
,OKLAHOMA ,Okmulgee,44,2,5,2,35,182,72,79,31,9
,OKLAHOMA ,Osage,62,3,9,3,47,395,167,175,53,4
,OKLAHOMA ,Pawnee,52,1,2,1,48,115,35,56,24,0
,OKLAHOMA ,Rogers,102,3,19,1,79,470,183,249,38,12
,OKLAHOMA ,Sequoyah,82,0,10,1,71,312,129,157,26,4
,OKLAHOMA ,Tulsa,239,5,33,21,180,885,267,417,201,8
,OKLAHOMA ,Wagoner,53,0,6,4,43,382,133,192,57,4
OKLAHOMA - Nonmetropolitan Counties,OKLAHOMA ,Adair,63,0,12,2,49,179,61,81,37,1
,OKLAHOMA ,Alfalfa,5,0,1,1,3,40,7,28,5,2
,OKLAHOMA ,Atoka,1,0,1,0,0,61,20,31,10,0
,OKLAHOMA ,Beaver,2,0,2,0,0,19,11,7,1,1
,OKLAHOMA ,Beckham,14,0,5,0,9,61,21,31,9,1
,OKLAHOMA ,Blaine,9,0,2,0,7,82,26,46,10,0
,OKLAHOMA ,Bryan,19,0,2,0,17,194,68,92,34,1
,OKLAHOMA ,Caddo,30,0,0,3,27,170,54,102,14,1
,OKLAHOMA ,Carter,10,0,2,0,8,146,35,101,10,0
,OKLAHOMA ,Cherokee,70,2,11,5,52,475,151,241,83,7
,OKLAHOMA ,Choctaw,50,0,0,0,50,106,46,44,16,6
,OKLAHOMA ,Coal,3,0,1,0,2,41,12,27,2,0
,OKLAHOMA ,Craig,12,0,4,0,8,117,53,51,13,4
,OKLAHOMA ,Custer,10,0,2,2,6,76,32,29,15,4
,OKLAHOMA ,Delaware,49,2,11,1,35,230,89,111,30,10
,OKLAHOMA ,Dewey,2,0,0,0,2,46,14,28,4,2
,OKLAHOMA ,Ellis,2,0,0,0,2,38,11,26,1,1
,OKLAHOMA ,Garvin,26,0,3,1,22,262,77,160,25,4
,OKLAHOMA ,Grant,3,0,0,1,2,42,14,27,1,0
,OKLAHOMA ,Harmon,1,0,1,0,0,8,1,7,0,0
,OKLAHOMA ,Harper,1,0,1,0,0,4,2,2,0,0
,OKLAHOMA ,Haskell,4,0,1,0,3,53,11,35,7,1
,OKLAHOMA ,Hughes,18,3,0,0,15,143,40,82,21,4
,OKLAHOMA ,Jackson,9,0,1,1,7,43,15,23,5,2
,OKLAHOMA ,Jefferson,2,0,0,1,1,27,5,18,4,1
,OKLAHOMA ,Johnston,7,0,1,0,6,49,20,23,6,2
,OKLAHOMA ,Kay,21,0,0,1,20,77,42,34,1,0
,OKLAHOMA ,Kingfisher,5,0,1,0,4,54,9,37,8,0
,OKLAHOMA ,Kiowa,10,1,2,0,7,23,11,8,4,1
,OKLAHOMA ,Latimer,14,0,1,0,13,53,24,27,2,2
,OKLAHOMA ,Le Flore,46,1,4,3,38,284,117,143,24,1
,OKLAHOMA ,Love,9,0,2,0,7,116,33,70,13,1
,OKLAHOMA ,Major,3,0,0,0,3,23,7,12,4,0
,OKLAHOMA ,Marshall,19,0,5,2,12,201,83,83,35,2
,OKLAHOMA ,Mayes,31,0,9,0,22,297,108,137,52,7
,OKLAHOMA ,McCurtain,20,0,2,3,15,350,128,189,33,18
,OKLAHOMA ,McIntosh,29,0,4,4,21,203,80,96,27,2
,OKLAHOMA ,Murray,6,0,0,0,6,24,13,8,3,0
,OKLAHOMA ,Muskogee5,79,0,13,1,65,319,119,171,29,3
,OKLAHOMA ,Noble,4,0,0,2,2,107,34,62,11,2
,OKLAHOMA ,Nowata,6,0,1,0,5,41,15,22,4,2
,OKLAHOMA ,Okfuskee,14,0,5,0,9,126,49,60,17,4
,OKLAHOMA ,Ottawa,10,0,2,0,8,165,61,79,25,4
,OKLAHOMA ,Payne,34,0,11,0,23,291,88,163,40,1
,OKLAHOMA ,Pittsburg,75,1,10,3,61,459,195,215,49,8
,OKLAHOMA ,Pontotoc,28,1,0,1,26,177,88,76,13,2
,OKLAHOMA ,Pottawatomie,60,1,12,1,46,457,145,254,58,4
,OKLAHOMA ,Pushmataha,8,0,1,0,7,70,34,29,7,3
,OKLAHOMA ,Roger Mills,5,0,2,0,3,27,6,21,0,0
,OKLAHOMA ,Seminole,38,0,3,1,34,274,104,130,40,0
,OKLAHOMA ,Stephens,18,0,5,2,11,197,55,115,27,1
,OKLAHOMA ,Texas,8,0,3,0,5,46,17,26,3,0
,OKLAHOMA ,Tillman,1,0,0,0,1,49,24,22,3,0
,OKLAHOMA ,Washita,13,1,3,0,9,67,18,40,9,0
,OKLAHOMA ,Woods,3,0,1,0,2,39,17,19,3,0
,OKLAHOMA ,Woodward,14,0,3,0,11,54,18,27,9,1
OREGON - Metropolitan Counties,OREGON ,Benton,20,1,4,1,14,189,64,114,11,2
,OREGON ,Clackamas,423,4,127,86,206,"5,423",735,"3,949",739,20
,OREGON ,Deschutes,93,0,17,8,68,604,143,411,50,7
,OREGON ,Jackson,195,1,24,17,153,"1,633",383,"1,089",161,11
,OREGON ,Josephine,52,1,5,4,42,392,107,140,145,3
,OREGON ,Linn,66,1,16,3,46,825,230,496,99,14
,OREGON ,Marion7,,3,,25,23,"2,521",397,"1,754",370,9
,OREGON ,Multnomah,157,1,32,24,100,"1,493",161,981,351,9
,OREGON ,Polk,63,2,2,4,55,281,86,174,21,6
,OREGON ,Washington,405,3,131,39,232,"2,280",358,"1,627",295,28
,OREGON ,Yamhill,36,1,16,3,16,555,139,362,54,9
OREGON - Nonmetropolitan Counties,OREGON ,Baker,2,0,0,0,2,38,12,21,5,1
,OREGON ,Clatsop,33,1,11,0,21,165,38,114,13,1
,OREGON ,Crook,15,0,4,0,11,163,41,106,16,1
,OREGON ,Curry,41,0,10,1,30,270,81,165,24,4
,OREGON ,Douglas,160,1,31,7,121,952,222,535,195,7
,OREGON ,Harney,0,0,0,0,0,41,15,20,6,0
,OREGON ,Hood River,11,0,3,0,8,111,25,75,11,0
,OREGON ,Jefferson,20,1,1,3,15,157,38,88,31,6
,OREGON ,Lake,5,0,0,0,5,56,16,28,12,1
,OREGON ,Lincoln,48,0,8,3,37,343,123,201,19,4
,OREGON ,Malheur5,15,1,4,1,9,189,59,95,35,0
,OREGON ,Morrow,16,0,3,0,13,186,38,118,30,3
,OREGON ,Sherman,1,0,0,0,1,50,7,36,7,2
,OREGON ,Tillamook,34,0,4,2,28,251,75,147,29,2
,OREGON ,Umatilla,33,1,4,8,20,405,133,210,62,4
,OREGON ,Union,14,1,1,1,11,114,18,86,10,0
,OREGON ,Wasco,27,1,1,1,24,120,31,68,21,1
PENNSYLVANIA - Metropolitan Counties,PENNSYLVANIA ,Adams,1,0,0,0,1,0,0,0,0,0
,PENNSYLVANIA ,Allegheny,1,0,0,0,1,3,0,3,0,0
,PENNSYLVANIA ,Beaver,2,0,0,0,2,1,0,1,0,0
,PENNSYLVANIA ,Berks,1,0,0,0,1,0,0,0,0,0
,PENNSYLVANIA ,Blair,0,0,0,0,0,0,0,0,0,0
,PENNSYLVANIA ,Bucks,1,0,0,0,1,0,0,0,0,0
,PENNSYLVANIA ,Butler,0,0,0,0,0,0,0,0,0,0
,PENNSYLVANIA ,Centre,0,0,0,0,0,0,0,0,0,0
,PENNSYLVANIA ,Chester,0,0,0,0,0,3,0,3,0,0
,PENNSYLVANIA ,Cumberland,0,0,0,0,0,0,0,0,0,0
,PENNSYLVANIA ,Erie,10,0,1,0,9,2,0,2,0,0
,PENNSYLVANIA ,Lancaster,1,0,0,0,1,0,0,0,0,0
,PENNSYLVANIA ,Lycoming,0,0,0,0,0,0,0,0,0,0
,PENNSYLVANIA ,Mercer,2,0,0,0,2,0,0,0,0,0
,PENNSYLVANIA ,Monroe,0,0,0,0,0,0,0,0,0,0
,PENNSYLVANIA ,Montgomery,0,0,0,0,0,0,0,0,0,0
,PENNSYLVANIA ,Northampton,6,0,0,0,6,0,0,0,0,0
,PENNSYLVANIA ,Pike,0,0,0,0,0,0,0,0,0,0
,PENNSYLVANIA ,Washington,2,0,0,0,2,1,0,1,0,0
,PENNSYLVANIA ,Westmoreland,0,0,0,0,0,0,0,0,0,0
,PENNSYLVANIA ,Wyoming,0,0,0,0,0,0,0,0,0,0
,PENNSYLVANIA ,York,1,0,0,0,1,0,0,0,0,0
PENNSYLVANIA - Nonmetropolitan Counties,PENNSYLVANIA ,Bedford,0,0,0,0,0,0,0,0,0,0
,PENNSYLVANIA ,Bradford,0,0,0,0,0,0,0,0,0,0
,PENNSYLVANIA ,Clarion,0,0,0,0,0,1,0,1,0,0
,PENNSYLVANIA ,Elk,0,0,0,0,0,0,0,0,0,0
,PENNSYLVANIA ,Greene,0,0,0,0,0,0,0,0,0,0
,PENNSYLVANIA ,Indiana,0,0,0,0,0,0,0,0,0,0
,PENNSYLVANIA ,Jefferson,0,0,0,0,0,0,0,0,0,0
,PENNSYLVANIA ,Lawrence,0,0,0,0,0,0,0,0,0,0
,PENNSYLVANIA ,Northumberland,0,0,0,0,0,0,0,0,0,0
,PENNSYLVANIA ,Schuylkill,0,0,0,0,0,0,0,0,0,0
,PENNSYLVANIA ,Snyder,0,0,0,0,0,0,0,0,0,0
,PENNSYLVANIA ,Tioga,0,0,0,0,0,0,0,0,0,0
,PENNSYLVANIA ,Union,0,0,0,0,0,0,0,0,0,0
